DutyType,Source,SerialNumber,Year,Make,Model,SalesPrice,SaleDate,Location,AuctionCompany,Mileage,Condition,Hours,PumpMeters,Notes,Category1,Category2,Category3,Category4,StockNumber,SeparatorHours,Horsepower,Drive,Width,Spacing,Rows,Currency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCAVATORS,TOPBID,A83923,1999,KOMATSU,PC220LC-6LE,37500,5/22/2007 12:00:00 AM,"LOS ANGELES, CA",RITCHIE BROS. AUCTIONEERS INTL,,,,,"Q/C BKT, 11'6 STICK"," AUX HYD. """"/C BKT"," 11'6"" STI""""C BK""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCAVATORS,TOPBID,20018,2001,KOMATSU,PC228US-3,62500,5/22/2007 12:00:00 AM,"LOS ANGELES, CA",RITCHIE BROS. AUCTIONEERS INTL,,,,,"BKT, 9'6 STICK", CAB W/AIR," AUX HYD. """"KT"," 9'6"" STICK", CAB W/AIR," A""""T"," 9'6"" STICK"," CAB W"""""," 9'6"" STICK"," 9'6"" S""""9'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCAVATORS,TOPBID,11501,2000,KOMATSU,PC228USLC-1,36000,6/20/2007 12:00:00 AM,"NORTH EAST, MD",RITCHIE BROS. AUCTIONEERS INTL,,,,,"Q/C BKT, 9'6 STICK"," A/C. """"/C BKT"," 9'6"" """"C""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCAVATORS,TOPBID,15615,2000,KOMATSU,PC228USLC-2,37500,6/20/2007 12:00:00 AM,"NORTH EAST, MD",RITCHIE BROS. AUCTIONEERS INTL,,,,,"Q/C BKT, 9'6 STICK", A/C, AUX HYD," ZERO TAIL SWING. """"/C BKT"," 9'6"" STICK", A/C, AUX HYD," ZERO """"C BKT"," 9'6"" STICK", A/C," AUX"""" BKT"," 9'6"" STICK""""BKT"," 9""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCAVATORS,TOPBID,20820,2002,KOMATSU,PC228USLC-3,55000,5/23/2007 12:00:00 AM,"KISSIMMEE, FL",ALEX LYON & SON AUCTIONEERS,,,,,"DIG BKT, 9'7 STICK", CAB W/AIR, KOMATSU SAA6D107E-1 148 HP DSL ENG," LONG U/C. """"IG BKT"," 9'7"" STICK", CAB W/AIR," KOMATSU SAA6D107E-1 148 HP DSL ENG""""G BKT"," 9'7"" STICK", CAB W/AIR," KOMATSU SAA6D107E-1 148"""" BKT"," 9'7"" STICK", CAB W/AIR," KOMATSU SAA6D""""BKT"," 9'7"" STICK", CAB W/AIR," KOMA""""KT"," 9'7"" STICK"," CAB W/A""""T"," 9'7"" STICK"," """""," 9'7"" S"""" 9""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCAVATORS,TOPBID,31186,2005,KOMATSU,PC228USLC-3,87500,5/24/2007 12:00:00 AM,"ORLANDO, FL",RITCHIE BROS. AUCTIONEERS INTL,,,3988,,"BKT, 10'4 STICK", A/C," 3988 HRS. """"KT"," 10'4"" STICK", A/C," 3""""T"," 10'4"" STICK"""""," 10'4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCAVATORS,TOPBID,A83052,1997,KOMATSU,PC250LC,33000,4/11/2007 12:00:00 AM,"TUSCALOOSA, AL","BLACK WARRIOR AUCTION CO., LLC",,,,,"DIG BKT, CAB. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCAVATORS,TOPBID,A83102,1998,KOMATSU,PC250LC-6,37316,5/30/2007 12:00:00 AM,"EDMONTON, AB",RITCHIE BROS. AUCTIONEERS INTL,,,,,BKT. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCAVATORS,TOPBID,10502,1999,KOMATSU,PC27MR-1,15000,4/24/2007 12:00:00 AM,"POST FALLS, ID",GARRY MONTAGUE AUCTIONEERS,,,,,"MINI, GP BKT, BACKFILL BLADE, CAB, RUBBER TRACKS. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCAVATORS,TOPBID,11218,1998,KOMATSU,PC27R-8,7000,5/24/2007 12:00:00 AM,"ORLANDO, FL",RITCHIE BROS. AUCTIONEERS INTL,,,,,"MINI, BKT, 48 STICK", BLADE, CANOPY," RUBBER TRACKS. """"INI", BKT," 48"" STICK", BLADE, CANOPY," RU""""NI", BKT," 48"" STICK"," BLADE""""I", BKT," 48"" S"""""," """,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCAVATORS,TOPBID,F30673,2000,KOMATSU,PC27R-8,10735,6/26/2007 12:00:00 AM,"TORONTO, ON",RITCHIE BROS. AUCTIONEERS INTL,,,,,"MINI, BKT, BLADE, CANOPY, AUX HYD, RUBBER TRACKS. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCAVATORS,TOPBID,11549,1998,KOMATSU,PC27R-8,12602,6/26/2007 12:00:00 AM,"TORONTO, ON",RITCHIE BROS. AUCTIONEERS INTL,,,,,"MINI, BKT, 3'11 STICK", BLADE, CANOPY, AUX HYD," RUBBER TRACKS. """"INI", BKT," 3'11"" STICK", BLADE, CANOPY, AUX HYD," """"NI", BKT," 3'11"" STICK", BLADE," CAN""""I", BKT," 3'11"" STIC"""""," BKT""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCAVATORS,TOPBID,11634,1999,KOMATSU,PC27R-8,7000,6/28/2007 12:00:00 AM,"PLEASANTON, CA",IRONPLANET,,,1858,,18 WIDE BKT," 59"" WIDE BLADE"," 47"" LONG STICK", OPEN CANOPY, KOMATSU 3D82AE3F ENG," 12"" WIDE RUBBER TRACKS"," 1858 HRS. """"8"" WIDE BKT"," 59"" WIDE BLADE"," 47"" LONG STICK", OPEN CANOPY, KOMATSU 3D82AE3F ENG," 12"" WIDE RUBBER TRACKS"," 1858 HRS"""""" WIDE BKT"," 59"" WIDE BLADE"," 47"" LONG STICK", OPEN CANOPY, KOMATSU 3D82AE3F ENG," 12"" WIDE RUBBER TRACKS"," 1858 HR"""" WIDE BKT"," 59"" WIDE BLADE"," 47"" LONG STICK", OPEN CANOPY, KOMATSU 3D82AE3F ENG," 12"" WIDE RUBBER TRACKS"," 1858 HR""""WIDE BKT"," 59"" WIDE BLADE"," 47"" LONG STICK", OPEN CANOPY, KOMATSU 3D82AE3F ENG," 12"" WIDE RUBBER TR""""IDE BKT"," 59"" WIDE BLADE"," 47"" LONG STICK", OPEN CANOPY, KOMATSU 3D82AE3F ENG," 12"" WI""""DE BKT"," 59"" WIDE BLADE"," 47"" LONG STICK", OPEN CANOPY," KOMATSU 3D82AE3F """"E BKT"," 59"" WIDE BLADE"," 47"" LONG STICK", OPEN CANOPY," KOMATSU"""" BKT"," 59"" WIDE BLADE"," 47"" LONG STICK"," OPEN CANOPY""""BKT"," 59"" WIDE BLADE"," 47"" LONG STICK"," OPE""""KT"," 59"" WIDE BLADE"," 47"" LONG STI""""T"," 59"" WIDE BLADE"," 47"" LO"""""," 59"" WIDE BLADE"," 4"""" 59"" WIDE BLAD""""59"" WIDE B""""9"" WIDE"""""" WID"""" WID""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCAVATORS,TOPBID,9686,1996,KOMATSU,PC28UU-2,7750,6/14/2007 12:00:00 AM,"DARLINGTON, PA","YODER & FREY AUCTIONEERS, INC.",,,3600,,"CANOPY, 3600 HRS. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCAVATORS,TOPBID,A70574,1990,KOMATSU,PC300,26000,4/10/2007 12:00:00 AM,"GARRETTSVILLE, OH","YODER & FREY AUCTIONEERS, INC.",,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCAVATORS,TOPBID,12800,1986,KOMATSU,PC300,15000,6/7/2007 12:00:00 AM,"MIDLAND, MI",UNITED AUCTIONEERS & APPRAISER,,,,,48 GP BKT," 10'6"" STICK", PLUMBED," 32"" TBG PADS. """"8"" GP BKT"," 10'6"" STICK", PLUMBED," 32"" TBG PADS"""""" GP BKT"," 10'6"" STICK", PLUMBED," 32"" TBG PAD"""" GP BKT"," 10'6"" STICK", PLUMBED," 32"" TBG PAD""""GP BKT"," 10'6"" STICK"," PLUMBED""""P BKT"," 10'6"" ST"""" BK""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCAVATORS,TOPBID,A81224,1998,KOMATSU,PC300-6,47000,5/17/2007 12:00:00 AM,"PLEASANTON, CA",IRONPLANET,,,14337,,62.5 BKT," 125.5"" STICK W/AUX HYD LINES", CAB W/HEAT, CUMMINS 505/8.3 ENG," 23 3/4"" SHOES"," 14337 HRS. """"2.5"" BKT"," 125.5"" STICK W/AUX HYD LINES", CAB W/HEAT, CUMMINS 505/8.3 ENG," 23 3/4"" SHOES"," 14337 H"""".5"" BKT"," 125.5"" STICK W/AUX HYD LINES", CAB W/HEAT, CUMMINS 505/8.3 ENG," 23 3/4"" SHOES"," 1433""""5"" BKT"," 125.5"" STICK W/AUX HYD LINES", CAB W/HEAT, CUMMINS 505/8.3 ENG," 23 3/4"" SHOES"," 14"""""" BKT"," 125.5"" STICK W/AUX HYD LINES", CAB W/HEAT, CUMMINS 505/8.3 ENG," 23 3/4"" SHOES"," 1"""" BKT"," 125.5"" STICK W/AUX HYD LINES", CAB W/HEAT, CUMMINS 505/8.3 ENG," 23 3/4"" SHOES"," 1""""BKT"," 125.5"" STICK W/AUX HYD LINES", CAB W/HEAT, CUMMINS 505/8.3 ENG," 23 3/""""KT"," 125.5"" STICK W/AUX HYD LINES", CAB W/HEAT," CUMMINS 505/8.3 """"T"," 125.5"" STICK W/AUX HYD LINES", CAB W/HEAT," CUMMINS"""""," 125.5"" STICK W/AUX HYD LINES", CAB W/HEAT," 125.5"" STICK W/AUX HYD LINES"," CAB """"125.5"" STICK W/AUX HYD LINES""""25.5"" STICK W/AUX HYD """"5.5"" STICK W/AUX """".5"" STICK W/A""""5"" STICK W"""""" STICK """" STICK """,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCAVATORS,TOPBID,A83446,1999,KOMATSU,PC300LC,38000,5/23/2007 12:00:00 AM,"PHILADELPHIA, MS",DEANCO AUCTION COMPANY,,,,,54 BKT," CAB W/AIR. """"4"" BKT"," CAB W/AIR"""""" BKT"," CAB W/AI"""" BKT"," CAB W/AI""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCAVATORS,TOPBID,14026,1988,KOMATSU,PC300LC-3,8500,4/11/2007 12:00:00 AM,"COLUMBUS, OH",RITCHIE BROS. AUCTIONEERS INTL,,,,,"BKT, 10'6 STICK"," AUX HYD. """"KT"," 10'6"" STICK"," """"T"," 10'6""""""""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCAVATORS,TOPBID,A15399,1989,KOMATSU,PC300LC-3,17500,5/23/2007 12:00:00 AM,"PHILADELPHIA, MS",DEANCO AUCTION COMPANY,,,,,52 BKT," STD STICK. """"2"" BKT"," STD STICK"""""" BKT"," STD STIC"""" BKT"," STD STIC""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCAVATORS,TOPBID,13040,1986,KOMATSU,PC300LC-3,11000,6/15/2007 12:00:00 AM,"NORTH FRANKLIN, CT","PETROWSKY AUCTIONEERS, INC.",,,,,"PLUMBED, 10' DIPPER, 11'8 MACHINE"," 36"" PADS. """"LUMBED", 10' DIPPER," """,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCAVATORS,TOPBID,UA71554,1994,KOMATSU,PC300LC-5,16000,5/23/2007 12:00:00 AM,"PHILADELPHIA, MS",DEANCO AUCTION COMPANY,,,,,HYD THUMB. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCAVATORS,TOPBID,A71072,1993,KOMATSU,PC300LC-5L,32000,5/9/2007 12:00:00 AM,"FORT WORTH, TX",RITCHIE BROS. AUCTIONEERS INTL,,,,,"BKT, 10' STICK. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCAVATORS,TOPBID,A30155,1995,KOMATSU,PC300LC-5LC,35000,6/27/2007 12:00:00 AM,"ATLANTA, GA",RITCHIE BROS. AUCTIONEERS INTL,,,,,"BKT, 10'6 STICK. """"KT"," 10'6""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCAVATORS,TOPBID,A80451,1997,KOMATSU,PC300LC-6,33000,4/19/2007 12:00:00 AM,"COLUMBIA, SC",J.M. WOOD AUCTION CO.,,,,,"STD STICK, ENC CAB, FAIR U/C. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCAVATORS,TOPBID,A83113,1999,KOMATSU,PC300LC-6,49000,5/17/2007 12:00:00 AM,"PLEASANTON, CA",IRONPLANET,,,15574,,54 BKT," 125.5"" STICK W/AUX HYD LINES", LINCOLN LUBE SYSTEM, CAB W/HEAT, KOMATSU 6 CYL ENG," 23 3/4"" SHOES"," 15574 HRS. """"4"" BKT"," 125.5"" STICK W/AUX HYD LINES", LINCOLN LUBE SYSTEM, CAB W/HEAT, KOMATSU 6 CYL ENG," 23 3/4"" SHOES"," 15574 HRS"""""" BKT"," 125.5"" STICK W/AUX HYD LINES", LINCOLN LUBE SYSTEM, CAB W/HEAT, KOMATSU 6 CYL ENG," 23 3/4"" SHOES"," 15574 HR"""" BKT"," 125.5"" STICK W/AUX HYD LINES", LINCOLN LUBE SYSTEM, CAB W/HEAT, KOMATSU 6 CYL ENG," 23 3/4"" SHOES"," 15574 HR""""BKT"," 125.5"" STICK W/AUX HYD LINES", LINCOLN LUBE SYSTEM, CAB W/HEAT, KOMATSU 6 CYL ENG," 23 3/4"" SHOE""""KT"," 125.5"" STICK W/AUX HYD LINES", LINCOLN LUBE SYSTEM, CAB W/HEAT, KOMATSU 6 CYL ENG," 23""""T"," 125.5"" STICK W/AUX HYD LINES", LINCOLN LUBE SYSTEM, CAB W/HEAT," KOMATSU 6 CY"""""," 125.5"" STICK W/AUX HYD LINES", LINCOLN LUBE SYSTEM, CAB W/HEAT," KOMA"""" 125.5"" STICK W/AUX HYD LINES", LINCOLN LUBE SYSTEM," CAB W/HEA""""125.5"" STICK W/AUX HYD LINES", LINCOLN LUBE SYSTEM," CAB""""25.5"" STICK W/AUX HYD LINES"," LINCOLN LUBE SYSTEM""""5.5"" STICK W/AUX HYD LINES"," LINCOLN LUBE SY"""".5"" STICK W/AUX HYD LINES"," LINCOLN LUBE""""5"" STICK W/AUX HYD LINES"," LINCOLN LU"""""" STICK W/AUX HYD LINES"," LINCOLN L"""" STICK W/AUX HYD LINES"," LINCOLN L""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCAVATORS,TOPBID,K30602,2000,KOMATSU,PC300LC-6,45000,6/6/2007 12:00:00 AM,"MONTGOMERY, AL",J.M. WOOD AUCTION CO.,,,,,48 BKT, LONG STICK, ENC CAB," GOOD U/C. """"8"" BKT", LONG STICK, ENC CAB," GOOD U/C"""""" BKT", LONG STICK, ENC CAB," GOOD U/"""" BKT", LONG STICK, ENC CAB," GOOD U/""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
