DutyType,Source,SerialNumber,Year,Make,Model,SalesPrice,SaleDate,Location,AuctionCompany,Mileage,Condition,Hours,PumpMeters,Notes,Category1,Category2,Category3,Category4,StockNumber,SeparatorHours,Horsepower,Drive,Width,Spacing,Rows,Currency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCAVATORS,TOPBID,FKY432,2012,CATERPILLAR,305.5ECR,42500,3/20/2018 12:00:00 AM,"SACRAMENTO, CA",RITCHIE BROS. AUCTIONEERS INTL,,,1734,,"MIDI, HYD Q/C W/HYD THUMB, 5'10 STICK", SWING AWAY BOOM, BLADE, CAB W/AIR,1,"734 HRS. """"IDI", HYD Q/C W/HYD THUMB," 5'10"" STICK"," SWING AWAY BOOM""""DI"," HYD Q/C W/HYD THUMB""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCAVATORS,TOPBID,HWJ2371,2007,CATERPILLAR,305CCR,16500,6/21/2017 12:00:00 AM,"ASHLAND, OH","YODER & FREY AUCTIONEERS, INC.",,,,,"MINI, ENC CAB, RUBBER TRACKS, BACKFILL BLADE, SWING BOOM, Q/C, HYDS. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCAVATORS,TOPBID,HWJ1472,2007,CATERPILLAR,305CCR,17000,6/21/2017 12:00:00 AM,"ASHLAND, OH","YODER & FREY AUCTIONEERS, INC.",,,,,"MINI, ENC CAB, RUBBER TRACKS, BACKFILL BLADE, SWING BOOM, Q/C, HYDS. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCAVATORS,TOPBID,HWJ3284,2008,CATERPILLAR,305CCR,27500,12/21/2017 12:00:00 AM,"CHEHALIS, WA",RITCHIE BROS. AUCTIONEERS INTL,,,5387,,"MINI, Q/C BKT W/HYD THUMB, 6' STICK, SWING AWAY BOOM, BLADE, CANOPY, 5,387 HRS. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCAVATORS,TOPBID,HWJ1967,2007,CATERPILLAR,305CCR,20000,3/26/2018 12:00:00 AM,"SALT LAKE CITY, UT",RITCHIE BROS. AUCTIONEERS INTL,,,,,"MINI, BKT, 6' STICK, SWIVEL BOOM, AUX HYD, BLADE, A/C. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCAVATORS,TOPBID,DSA586,2003,CATERPILLAR,305CR,17000,6/20/2017 12:00:00 AM,"PHOENIX, AZ",RITCHIE BROS. AUCTIONEERS INTL,,,4420,,"MINI, Q/C, 6' STICK, SWING AWAY BOOM, AUX HYD, BLADE, CANOPY, 4,420 HRS. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCAVATORS,TOPBID,DGT1548,2005,CATERPILLAR,305CR,27000,12/14/2017 12:00:00 AM,"PLEASANTON, CA",IRONPLANET,,,3915,,"MINI, ENC CAB W/HEAT, 24? BKT W/TEETH, SWING BOOM, 5'11 STICK", AUX HYD PLUMBING, THUMB BRACKET, BACKFILL BLADE," 16"" TRACK BELTS",3,"915 HRS. """"INI", ENC CAB W/HEAT, 24? BKT W/TEETH, SWING BOOM," 5'11"" STICK", AUX HYD PLUMBING," THUM""""NI", ENC CAB W/HEAT," 24? BKT W/""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCAVATORS,TOPBID,DGT803,2005,CATERPILLAR,305CR,20500,12/20/2017 12:00:00 AM,"COLUMBUS, OH",RITCHIE BROS. AUCTIONEERS INTL,,,4843,,"MIDI, Q/C BKT, 6' STICK, BLADE, CAB W/AIR, 4,843 HRS. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCAVATORS,TOPBID,BMW253,2001,CATERPILLAR,305CR,14000,3/21/2018 12:00:00 AM,"NORTH FRANKLIN, CT",RITCHIE BROS. AUCTIONEERS INTL,,,5704,,"MIDI, BKT, 4'8 STICK", SWING AWAY BOOM, BLADE, CAB, STEEL TRACKS,5,"704 HRS. """"IDI", BKT," 4'8"" STICK", SWING AWAY BOOM, BLADE, CAB," STEEL TRACK""""DI", BKT," 4'8"" STICK", SWING AWAY BOOM, BLADE," CAB""""I", BKT," 4'8"" STICK"," SWING AWAY BOOM""""", BKT," 4'8"" STICK"," SWIN"""" BKT"," 4'8"" S""""BK""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCAVATORS,TOPBID,XER1871,2011,CATERPILLAR,305DCR,26000,6/21/2017 12:00:00 AM,"ASHLAND, OH","YODER & FREY AUCTIONEERS, INC.",,,,,"MINI, ENC CAB, RUBBER TRACKS, BACKFILL BLADE, SWING BOOM, CONTROL VALVE, Q/C, HYDS. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
