0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
33.8,27932.0,41432.0,41882.0,29282.0,39632.0,39182.0,18482.0,23432.0,8132.0,24332.0,24782.0,14432.0,14432.0,16232.0,11282.0,16232.0,13532.0
33.8,33.8,41612.0,41882.0,35582.0,41432.0,27482.0,17582.0,8582.0,8132.0,12632.0,24782.0,21182.0,13532.0,12632.0,10832.0,13532.0,10832.0
33.8,50432.0,18932.0,30632.0,24782.0,41432.0,71132.0,17582.0,8492.0,8132.0,12182.0,10832.0,21632.0,13532.0,12362.0,13982.0,13082.0,22532.0
33.8,50432.0,24782.0,30632.0,41882.0,17582.0,17132.0,18032.0,17132.0,31982.0,11732.0,29732.0,15332.0,13532.0,30182.0,13532.0,13982.0,
33.8,50432.0,36032.0,41432.0,76982.0,18932.0,17132.0,17582.0,24332.0,25232.0,15782.0,34232.0,14882.0,13082.0,35132.0,13082.0,16232.0,
33.8,50432.0,36032.0,41432.0,76982.0,18932.0,22982.0,17132.0,8132.0,23432.0,40982.0,30632.0,14432.0,27032.0,20282.0,10382.0,14432.0,
33.8,23432.0,36032.0,41432.0,24692.0,17132.0,22982.0,18932.0,17582.0,16682.0,19832.0,14432.0,14432.0,13532.0,45032.0,38732.0,12182.0,
55832.0,23432.0,31082.0,40982.0,24332.0,17132.0,40082.0,23882.0,17132.0,12632.0,18482.0,11732.0,14432.0,13532.0,30632.0,37832.0,19382.0,
55832.0,36482.0,31082.0,44582.0,22532.0,22982.0,24782.0,23432.0,45482.0,9482.0,19382.0,10382.0,14432.0,25232.0,46832.0,37832.0,12632.0,
54932.0,36482.0,29732.0,42782.0,39182.0,22982.0,24332.0,43232.0,8492.0,25232.0,17582.0,22082.0,12632.0,13532.0,34232.0,18032.0,37382.0,
54932.0,36032.0,29732.0,24332.0,39182.0,22982.0,21182.0,23432.0,16232.0,33782.0,20732.0,13532.0,24332.0,33332.0,29732.0,30182.0,25232.0,
32432.0,33332.0,44582.0,57632.0,37832.0,42332.0,21182.0,20282.0,18932.0,14882.0,26132.0,13982.0,12632.0,22982.0,27932.0,29282.0,10832.0,
31982.0,33332.0,39632.0,19832.0,32432.0,36482.0,21182.0,31982.0,18482.0,16232.0,24782.0,13982.0,22532.0,22982.0,11732.0,15332.0,13532.0,
31082.0,33332.0,39632.0,31082.0,30632.0,41432.0,21182.0,11732.0,18482.0,7232.0,9932.0,13982.0,19832.0,43232.0,27032.0,15332.0,21632.0,
29282.0,33332.0,28832.0,31082.0,36392.0,45932.0,20732.0,21182.0,9932.0,9932.0,26132.0,18032.0,19832.0,27932.0,24332.0,19832.0,9932.0,
29282.0,33332.0,29282.0,32432.0,63032.0,22532.0,30632.0,21182.0,9932.0,9932.0,13082.0,27932.0,13982.0,24332.0,14882.0,10832.0,9482.0,
48182.0,33332.0,29282.0,28832.0,37652.0,22532.0,22532.0,13532.0,6332.0,14432.0,25232.0,20732.0,13982.0,23432.0,8132.0,26582.0,8582.0,
40082.0,32432.0,90482.0,38732.0,37652.0,21632.0,36032.0,14432.0,14882.0,20282.0,47732.0,22982.0,13982.0,13532.0,23432.0,26582.0,12632.0,
69782.0,32432.0,90482.0,25232.0,37652.0,37382.0,23432.0,22082.0,19652.0,12632.0,35582.0,21182.0,15332.0,11282.0,16682.0,20732.0,12632.0,
70682.0,42332.0,94982.0,27482.0,34232.0,34682.0,43232.0,19832.0,11732.0,18482.0,15332.0,61232.0,15332.0,72032.0,27032.0,19832.0,18932.0,
59432.0,44132.0,94982.0,26582.0,31982.0,57182.0,43232.0,37382.0,11372.0,14882.0,44132.0,46832.0,20732.0,33332.0,15782.0,18932.0,34682.0,
53132.0,44132.0,94982.0,26132.0,20732.0,21182.0,42332.0,44132.0,11372.0,13082.0,44132.0,22532.0,17132.0,16232.0,24332.0,13532.0,12632.0,
53132.0,44132.0,90482.0,26132.0,20732.0,24782.0,20282.0,14432.0,13532.0,43232.0,12632.0,31532.0,14432.0,18932.0,29732.0,36032.0,,
53132.0,43682.0,90482.0,26132.0,19832.0,24332.0,20282.0,19382.0,13532.0,25232.0,54032.0,27482.0,7232.0,36482.0,24332.0,16232.0,,
53132.0,48182.0,90482.0,54482.0,19832.0,24332.0,36932.0,18932.0,13082.0,26582.0,11282.0,13082.0,6332.0,39632.0,18482.0,23432.0,,
53132.0,48182.0,90482.0,33782.0,19832.0,50432.0,31982.0,19832.0,11282.0,21182.0,17132.0,8132.0,17132.0,14882.0,22982.0,10832.0,,
53132.0,43682.0,90482.0,30182.0,31982.0,26582.0,31982.0,19832.0,7592.0,20732.0,41882.0,13982.0,15782.0,17582.0,17132.0,23432.0,,
53132.0,48182.0,90482.0,31532.0,31982.0,26132.0,31982.0,32882.0,7232.0,23432.0,40082.0,50432.0,15782.0,12632.0,18932.0,14432.0,,
53132.0,48182.0,24782.0,32882.0,30632.0,45032.0,33782.0,32882.0,6512.0,23432.0,11732.0,10832.0,15782.0,16232.0,18482.0,12182.0,,
63032.0,48182.0,25052.0,32882.0,25232.0,45032.0,33782.0,10382.0,7682.0,16232.0,21632.0,23432.0,11732.0,22082.0,10382.0,12632.0,,
72482.0,48182.0,27032.0,31082.0,42332.0,45032.0,20732.0,15332.0,19832.0,16232.0,21632.0,18482.0,12632.0,24332.0,36032.0,21632.0,,
50882.0,48182.0,27032.0,31082.0,42332.0,31532.0,20732.0,13172.0,19472.0,14882.0,9482.0,17582.0,14882.0,22982.0,27932.0,13982.0,,
48182.0,45932.0,26582.0,29282.0,24332.0,31082.0,19832.0,13082.0,19382.0,16682.0,51332.0,45032.0,14432.0,15782.0,27932.0,24332.0,,
48182.0,45932.0,26582.0,29282.0,29732.0,29282.0,19832.0,18482.0,18932.0,15782.0,41432.0,17132.0,14432.0,33332.0,27932.0,17582.0,,
30182.0,45932.0,26132.0,19832.0,25232.0,27932.0,14432.0,18482.0,18932.0,15782.0,11732.0,28832.0,12632.0,18482.0,27032.0,18032.0,,
30182.0,37832.0,54392.0,19382.0,25232.0,22712.0,50432.0,63932.0,14162.0,32882.0,22532.0,41432.0,10832.0,90032.0,19382.0,22082.0,,
42782.0,45032.0,54392.0,19382.0,25232.0,22352.0,39632.0,16232.0,13892.0,14432.0,17132.0,16682.0,18932.0,18032.0,19832.0,26582.0,,
37832.0,45032.0,54032.0,24332.0,23972.0,22532.0,39632.0,13532.0,17582.0,31982.0,18932.0,41432.0,18932.0,36032.0,29732.0,14432.0,,
37382.0,44582.0,54032.0,24782.0,28832.0,21632.0,26132.0,15332.0,17852.0,31982.0,17132.0,10832.0,12182.0,46832.0,27032.0,11282.0,,
40532.0,44582.0,54032.0,24782.0,28832.0,27482.0,18932.0,14882.0,17582.0,31982.0,16232.0,9482.0,12182.0,22982.0,34682.0,28382.0,,
42332.0,36932.0,58982.0,49982.0,29192.0,27482.0,30182.0,19832.0,18932.0,10562.0,16232.0,16232.0,7682.0,18932.0,28382.0,26132.0,,
41882.0,37382.0,30182.0,34232.0,37562.0,24332.0,22532.0,15782.0,27932.0,64832.0,36032.0,25232.0,7682.0,17132.0,27482.0,17132.0,,
28832.0,68432.0,51332.0,38282.0,74282.0,25682.0,22532.0,19832.0,24782.0,64832.0,40982.0,17132.0,18932.0,20282.0,19832.0,13982.0,,
28832.0,64382.0,24332.0,38282.0,74732.0,13532.0,19292.0,15782.0,45032.0,64832.0,15782.0,14882.0,16232.0,15332.0,19832.0,14432.0,,
28832.0,33782.0,16232.0,38282.0,74732.0,66632.0,46382.0,15782.0,44132.0,64832.0,17132.0,23432.0,39632.0,32432.0,18032.0,15332.0,,
28832.0,54932.0,96332.0,38282.0,50882.0,59882.0,46382.0,14882.0,12182.0,69332.0,46832.0,29732.0,25232.0,32432.0,15332.0,10382.0,,
28382.0,54932.0,44582.0,35132.0,37382.0,80582.0,45932.0,14882.0,10382.0,64832.0,14432.0,23432.0,29732.0,19832.0,24332.0,18932.0,,
35582.0,69332.0,53132.0,35132.0,53582.0,31532.0,45932.0,62132.0,7232.0,9032.0,14432.0,34232.0,21182.0,17132.0,17132.0,18032.0,,
38732.0,62132.0,49982.0,35672.0,24782.0,29282.0,46382.0,92732.0,19382.0,8582.0,13082.0,33332.0,35132.0,19832.0,25232.0,7682.0,,
38732.0,45032.0,39182.0,35672.0,24782.0,32882.0,66632.0,79232.0,24782.0,8582.0,12182.0,43232.0,26132.0,16232.0,15332.0,18932.0,,
52232.0,32432.0,28832.0,35132.0,24782.0,32882.0,26582.0,52682.0,13532.0,8582.0,12182.0,34232.0,17132.0,28382.0,32432.0,15782.0,,
31082.0,30182.0,25232.0,35132.0,24782.0,32882.0,19832.0,9032.0,52232.0,10832.0,11732.0,25232.0,25232.0,36032.0,23432.0,19832.0,,
30182.0,42782.0,25232.0,39452.0,27032.0,32882.0,19832.0,37382.0,22532.0,19832.0,11282.0,37382.0,24332.0,17132.0,20732.0,16682.0,,
30182.0,42782.0,53132.0,39452.0,27482.0,17132.0,19832.0,21632.0,22982.0,14612.0,11282.0,18032.0,31532.0,13532.0,22082.0,17582.0,,
30182.0,42782.0,45032.0,36482.0,6332.0,38282.0,14882.0,19382.0,23432.0,11732.0,11282.0,13982.0,30632.0,11732.0,20732.0,26132.0,,
30182.0,37382.0,45032.0,39182.0,33332.0,36032.0,33332.0,31532.0,21632.0,10832.0,10832.0,9482.0,29732.0,16682.0,28832.0,14882.0,,
32882.0,37382.0,51692.0,39182.0,33332.0,36032.0,76532.0,25232.0,22982.0,9482.0,38732.0,38282.0,29732.0,8582.0,26492.0,18032.0,,
27032.0,40082.0,42332.0,32432.0,30182.0,36032.0,15332.0,13532.0,22982.0,31982.0,11732.0,37382.0,29732.0,36482.0,18032.0,16682.0,,
27032.0,39632.0,42332.0,32432.0,30182.0,36032.0,17132.0,44582.0,13892.0,31982.0,25682.0,45932.0,15332.0,43232.0,17132.0,22532.0,,
27032.0,39632.0,18032.0,50882.0,30182.0,26582.0,15332.0,10832.0,13532.0,31982.0,24782.0,40982.0,21632.0,18932.0,19832.0,18482.0,,
27032.0,40082.0,35582.0,37382.0,30092.0,32882.0,19832.0,8132.0,23882.0,41432.0,37832.0,21182.0,19832.0,28382.0,17582.0,9032.0,,
64382.0,27482.0,56372.0,40982.0,29912.0,32432.0,19832.0,19382.0,22532.0,31982.0,27932.0,18932.0,11282.0,12632.0,38732.0,23432.0,,
52232.0,29012.0,42782.0,38732.0,34412.0,49532.0,16682.0,16232.0,13532.0,31982.0,21182.0,13532.0,27932.0,16232.0,31532.0,17132.0,,
80582.0,36032.0,46832.0,29732.0,34232.0,36932.0,16682.0,14432.0,13532.0,31982.0,41432.0,22982.0,27932.0,17582.0,31532.0,27482.0,,
46382.0,30812.0,46832.0,28382.0,32432.0,40532.0,17132.0,14432.0,13532.0,31982.0,36932.0,23432.0,21182.0,12632.0,31532.0,19832.0,,
36482.0,40532.0,44132.0,28382.0,36032.0,40532.0,15782.0,23432.0,17132.0,31982.0,17132.0,15332.0,21182.0,24782.0,31532.0,10832.0,,
36482.0,40532.0,27932.0,28382.0,30632.0,40532.0,15782.0,20732.0,14432.0,31982.0,9032.0,22532.0,21182.0,13532.0,25232.0,12632.0,,
36482.0,40532.0,25232.0,32882.0,29282.0,40532.0,19832.0,18482.0,15782.0,31982.0,18482.0,9032.0,21182.0,16232.0,25232.0,12182.0,,
36482.0,40532.0,25232.0,32882.0,28832.0,43682.0,14432.0,26582.0,19832.0,31982.0,15332.0,7682.0,21632.0,39632.0,11732.0,42782.0,,
43682.0,40532.0,25232.0,25232.0,28832.0,43682.0,18932.0,20552.0,16682.0,40532.0,16682.0,24332.0,20282.0,39632.0,11282.0,27032.0,,
43232.0,40532.0,25232.0,38732.0,28832.0,52232.0,18932.0,19382.0,14432.0,14882.0,59432.0,33332.0,18932.0,36032.0,24782.0,18482.0,,
27932.0,38732.0,90482.0,42782.0,28832.0,25232.0,12632.0,16682.0,14432.0,14612.0,56732.0,22532.0,18932.0,33332.0,31982.0,28832.0,,
29282.0,10832.0,90482.0,46382.0,27932.0,25232.0,67532.0,21182.0,14432.0,14432.0,54032.0,27032.0,18932.0,33332.0,13532.0,25232.0,,
29732.0,53582.0,90482.0,41882.0,27932.0,95432.0,27932.0,17582.0,14432.0,12182.0,13082.0,20732.0,18932.0,31082.0,29732.0,22532.0,,
41882.0,53582.0,28382.0,41882.0,27932.0,93632.0,32432.0,25232.0,14882.0,28832.0,17582.0,14432.0,17132.0,27032.0,46832.0,25682.0,,
41882.0,51782.0,30182.0,22532.0,27932.0,42332.0,32432.0,21632.0,14882.0,28832.0,17132.0,47732.0,11282.0,25232.0,24332.0,15332.0,,
39632.0,25232.0,22982.0,30182.0,27932.0,37832.0,31082.0,22982.0,43232.0,21632.0,16232.0,28832.0,20282.0,43232.0,8132.0,15332.0,,
39632.0,46832.0,46382.0,30182.0,27932.0,43682.0,30632.0,22982.0,43232.0,20282.0,36032.0,32882.0,17132.0,26132.0,14882.0,10382.0,,
