,SaleDate
59673,2009-09-17
59674,2011-03-24
59682,2010-12-02
59683,2010-03-25
61575,2013-08-08
62894,2013-08-01
65506,2008-08-26
65512,2009-02-12
65513,2008-07-17
65530,2011-03-24
65534,2008-11-13
66514,2010-08-26
66523,2010-03-25
66540,2008-08-14
66541,2008-08-14
66543,2008-08-14
66544,2010-04-01
66547,2010-06-10
66561,2008-09-11
66566,2006-12-07
66591,2010-09-23
66594,2009-10-27
66599,2008-11-13
66609,2008-12-11
66610,2009-10-27
66619,2008-11-06
66621,2009-04-02
66622,2008-07-31
66627,2008-07-31
66628,2008-07-17
66630,2009-11-12
66641,2011-05-26
66643,2009-10-27
66644,2008-06-19
66645,2008-06-19
66655,2009-11-12
66656,2009-12-17
67642,2009-02-12
67644,2010-02-18
67649,2009-12-10
67651,2009-10-27
67652,2009-10-29
74405,2013-08-22
74797,2012-09-13
76597,2006-11-16
80128,2013-11-07
83091,2008-10-30
83096,2005-08-11
83097,2005-08-18
83101,2005-04-07
83117,2006-01-26
83122,2006-07-20
83123,2007-09-13
83124,2007-07-26
83126,2007-03-22
83127,2004-03-04
83128,2004-03-04
83130,2004-03-04
83131,2004-03-04
83133,2003-03-06
83136,2005-03-31
83144,2006-01-26
83145,2007-02-01
83149,2005-04-07
83151,2005-04-07
83160,2006-04-27
83161,2006-04-27
83164,2006-11-16
83165,2006-11-16
83180,2006-04-27
83181,2006-04-27
83183,2006-01-26
83185,2006-01-26
83186,2006-01-26
83196,2005-08-11
83197,2005-11-03
83198,2007-06-21
83199,2007-06-21
83203,2006-01-26
83208,2006-04-27
83213,2005-08-11
83214,2005-08-11
83217,2005-05-26
83223,2007-09-13
83229,2005-04-07
83230,2005-04-07
83241,2010-11-18
83242,2006-09-21
83243,2006-03-23
83244,2006-01-26
83245,2006-01-26
83251,2005-04-07
83252,2005-04-07
83253,2005-04-07
83255,2006-02-02
83260,2006-12-14
83264,2007-11-15
83268,2005-12-01
83280,2008-06-24
83281,2008-06-19
83289,2006-08-17
83296,2006-07-13
83308,2006-11-16
83309,2006-09-28
83310,2006-11-09
83311,2004-06-17
83312,2006-07-13
83313,2006-08-17
83317,2007-05-10
83323,2007-03-29
83324,2007-03-22
83329,2006-02-23
83330,2006-07-20
83331,2006-08-17
83332,2006-05-11
83335,2006-09-28
83351,2005-11-17
83357,2006-11-09
83361,2006-07-20
83363,2007-08-16
83367,2009-09-17
86500,2002-06-20
86501,2001-12-06
86502,2002-05-02
86507,2007-07-19
86511,2004-07-15
86513,2003-03-13
86515,2003-11-06
86521,2001-10-18
86524,2003-02-27
86526,2002-10-10
86527,2004-07-15
86528,2004-07-15
86529,2004-08-26
86530,2003-07-02
86531,2003-09-11
86537,2004-08-26
86541,2005-06-16
86542,2005-04-14
86548,2005-01-20
86552,2004-09-16
86553,2006-09-28
86554,2004-06-10
86555,2005-07-14
86556,2005-07-28
86557,2004-09-23
86560,2004-09-23
86561,2005-04-14
86562,2007-01-18
86563,2006-08-24
86564,2004-11-18
86567,2004-10-28
86572,2003-03-13
86573,2002-03-21
86580,2004-04-29
86582,2003-05-22
86587,2004-09-23
86589,2005-09-22
86590,2005-02-24
86592,2004-07-01
86596,2003-11-06
86598,2004-05-13
86599,2005-05-26
86600,2005-05-26
88315,2005-04-07
88318,2005-09-22
88324,2005-09-15
88325,2005-09-15
88326,2005-11-03
88327,2006-10-12
88328,2006-11-16
88329,2006-11-16
88331,2006-11-16
88332,2006-07-20
88335,2008-06-12
88336,2005-11-17
88339,2005-11-17
88340,2005-12-01
88341,2005-08-11
88345,2007-09-13
88348,2007-03-08
88349,2006-05-25
88358,2005-11-17
88359,2005-11-17
88367,2005-11-17
88369,2005-08-11
88371,2005-09-15
88375,2007-01-18
88376,2007-03-22
88377,2006-09-21
88382,2006-03-30
88387,2005-04-07
88388,2005-04-07
88390,2005-04-07
88391,2005-04-07
88392,2005-04-07
88396,2005-09-15
88400,2005-08-11
88401,2005-10-27
88403,2005-11-17
88408,2006-09-14
88409,2006-08-17
88410,2006-12-14
88421,2007-06-21
88422,2007-06-21
88423,2007-06-21
88424,2007-07-12
88427,2005-11-17
88428,2005-11-03
88429,2005-08-11
88430,2005-09-15
88435,2007-03-08
88448,2005-09-15
88452,2005-08-11
88453,2005-08-11
88454,2005-11-17
88930,2006-08-17
88931,2006-08-17
88933,2006-08-17
88935,2007-07-19
88936,2007-09-13
88937,2008-07-10
88939,2005-08-11
88941,2007-05-10
88951,2005-06-16
88957,2005-09-15
88958,2005-11-17
88961,2005-11-17
88962,2005-11-17
88963,2005-11-17
88964,2005-11-17
88965,2005-11-17
88966,2010-01-21
88973,2006-05-11
88978,2007-03-08
88979,2007-03-29
88980,2007-07-19
88981,2007-07-26
88992,2005-08-11
88993,2011-03-24
88994,2011-03-24
88995,2007-12-13
89002,2006-10-19
89006,2011-01-20
89015,2006-10-05
89016,2006-10-05
89022,2007-11-15
89026,2010-11-11
89035,2007-07-26
89052,2006-02-02
89053,2006-02-02
89054,2006-02-02
89059,2006-10-12
89062,2007-11-01
89072,2008-09-11
89077,2006-11-16
89084,2007-06-14
89085,2007-12-06
89088,2008-10-30
89109,2010-09-16
89113,2007-12-06
89116,2007-11-15
89118,2009-02-12
89122,2006-11-16
89139,2007-06-21
89141,2007-11-15
89145,2006-11-16
89150,2009-06-25
89153,2005-09-22
89157,2006-11-16
89158,2006-11-16
89162,2007-10-25
89163,2007-12-13
89165,2011-05-05
89166,2011-03-24
89167,2011-03-24
89168,2011-04-28
89171,2007-10-25
89180,2006-11-16
89189,2007-03-01
89190,2007-03-01
89193,2008-09-11
91593,2013-10-31
91596,2013-10-31
93640,2013-11-14
95205,2013-12-12
95207,2013-12-12
96586,2015-05-21
96587,2015-05-21
96889,2014-02-13
97790,2014-03-27
98019,2014-04-03
98582,2014-05-15
98699,2014-05-08
98900,2014-04-24
98902,2014-04-24
98903,2014-04-24
99682,2014-06-26
99685,2014-06-26
101843,2011-07-12
101953,2011-06-23
101956,2011-06-23
101957,2011-06-23
101958,2011-06-23
102240,2011-06-16
102674,2011-12-15
103476,2011-10-27
104081,2011-09-29
104082,2011-09-29
104083,2011-09-29
104303,2011-09-15
104304,2011-09-15
104491,2011-08-25
104937,2011-07-28
105011,2011-07-21
107095,2014-10-23
107096,2014-10-23
107350,2014-10-30
108091,2014-08-21
108092,2014-08-21
109290,2013-06-06
110347,2011-05-26
112619,2005-03-03
114980,2002-03-05
114988,2002-03-05
114989,2002-03-05
114990,2002-03-05
114994,2002-03-05
114995,2002-03-05
114997,2002-03-05
114998,2002-03-05
114999,2002-03-05
115285,2001-10-01
115286,2001-10-01
115291,2001-10-01
115293,2001-10-01
116504,2014-11-20
117053,2014-12-18
119935,2015-04-23
121425,2015-07-23
121426,2015-07-23
121427,2015-07-23
121428,2015-07-23
125703,2015-11-12
126796,2015-11-19
127114,2015-12-10
127133,2015-12-03
127466,2015-12-17
128348,2016-01-21
132762,2016-06-09
133944,2016-04-21
133945,2016-04-21
141642,2016-07-28
141818,2016-07-21
150618,2017-04-13
